"site","Lat","Lon","NoSpp"
"Adams",-50.9027,166.0018,1
"Admiralty",-62.1778,-58.4447,2
"Aiktak",54.1886,-164.84,10
"Alcatraz",37.82667,-122.42333,1
"Amsterdam",-37.816667,77.53333,1
"Anacapa",34.003889,-119.394722,1
"Antipodes",-49.6699,178.8052,1
"Bird",-54.005556,-38.05,2
"Buldir",52.358056,175.924722,14
"Cape Lisburne",68.88111,-166.21,1
"Cape Peirce",58.55278,-161.769,2
"Chowiet",56.03423,-156.70116,6
"Crozet",-46.416667,51.83333,2
"Dassen",-33.423402,18.087127,1
"East Amatuli",58.917292,-151.98619,2
"Foula",60.13333,-2.06667,4
"Hirakimata",-36.1862,175.4126,1
"Hornoya",70.3877,31.1553,2
"Ihumoana",-36.891415,174.439632,1
"Kaikoura",-42.4,173.68,1
"Kauwahaia",-36.886544,174.437072,2
"Kerguelen",-48.4,68.36667,5
"Lamberts",-32.083333,18.3,1
"Malgas",-33.052778,17.925278,1
"May",56.185833,-2.5575,6
"Middleton",59.4382,-146.3266,2
"Oamaru",-45.110212,170.979431,1
"Pelsaert",-28.9,113.9,1
"Penguin",-32.305278,115.691111,1
"Phillip",-38.483333,145.233333,1
"Pointe Geologie",-66.66667,140.016667,5
"Punta Tombo",-44.045529,-65.223237,1
"Rangatira",-44.3465,-176.1721,1
"Rasa",28.823922,-112.980286,1
"Robben",-33.804734,18.366222,1
"Rost",67.52,12.098889,2
"Santa Barbara Is",33.476989,-119.037722,1
"SE Farallon Island",37.72493,-123.030278,8
"Shirreff",-62.459,-60.7902,2
"St. George",56.57429,-169.613,5
"St. Lazaria",56.987222,-135.704722,6
"St. Paul",57.20436,-170.283,5
"Tern",23.87,-166.284,2
"Teuri",44.416667,141.3,3
"Varanus",-20.650833,115.574167,1
"Wilhelmshaven",53.511,8.1052,1
